playername,playername_original,league,_source_year,split,position,teamname,talent_score,score_percentile,promoted_to_lec,win_rate,games_played,champion_pool_size,dpm_zscore,cspm_zscore,golddiffat15_zscore
zoelys,Zoelys,LFL,2026,unknown,sup,Galions,99.76824541842157,100.0,False,0.647887323943662,71,20,2.7047794392531315,-0.295260739520734,2.2917668256190367
omon,OMON,LFL,2026,unknown,mid,Galions,99.39660721817182,100.0,False,0.647887323943662,71,22,0.6087330120051475,-0.1924269880194432,0.2787457133976723
thayger,Thayger,LFL,2026,unknown,jng,Galions,99.34210291766637,100.0,False,0.647887323943662,71,16,0.8524634868094983,1.499259716233713,0.970919150275112
carlsen,Carlsen,LFL,2026,unknown,top,Galions,99.2902353770603,100.0,False,0.647887323943662,71,20,0.7555646521581714,1.0469948844798742,0.927619507355271
harpoon,HARPOON,LFL,2026,unknown,bot,Galions,99.17044759312752,100.0,False,0.647887323943662,71,20,0.7898196625394807,0.2355050049070175,1.3252429364966534
toffe,Toffe,LFL,2026,unknown,mid,TLN Pirates,98.37296791346327,99.77628635346755,False,0.5606060606060606,66,16,0.4552967628642705,1.578500285338645,0.366517552797672
stefan,Stefan,LFL,2026,unknown,jng,TLN Pirates,97.98448096250578,99.78118161925602,False,0.5606060606060606,66,17,0.6400290393473546,-0.1051339500659284,-0.7617117871481197
thomas,Thomas,LFL,2026,unknown,sup,TLN Pirates,97.68526601247451,99.77777777777777,False,0.5606060606060606,66,15,-0.1770625373853928,-0.9945886774925988,-0.8170847058148055
zicssi,Zicssi,LFL,2026,unknown,jng,Solary,97.52244413018532,99.56236323851203,False,0.7636363636363637,55,15,1.599168943870966,1.534462261749755,1.186268206331856
axelent,Axelent,LFL,2026,unknown,bot,TLN Pirates,97.255958933825,99.78070175438597,False,0.5606060606060606,66,16,0.0218539272164646,-0.3170711296881547,0.11894759119738
spooder,Spooder,LFL,2026,unknown,top,TLN Pirates,96.38852363013444,99.77728285077951,False,0.5606060606060606,66,15,-0.7508458665573847,-0.491452035122303,-0.1990775470716116
aetinoth,Aetinoth,LFL,2026,unknown,bot,Solary,96.15034276357169,99.56140350877193,False,0.7592592592592593,54,16,0.5917235368318918,-0.2902927040747545,1.0826127997742727
piero,Piero,LFL,2026,unknown,sup,Solary,96.04770894792223,99.55555555555556,False,0.7592592592592593,54,18,0.4036509552981473,0.3856993981566349,0.8184196017269548
kryze,Kryze,LFL,2026,unknown,top,Solary,95.82060569006867,99.55456570155901,False,0.7636363636363637,55,15,0.8204451204579889,1.1848439846737264,1.1118411513197155
jool,Jool,LFL,2026,unknown,mid,Solary,95.80364491504825,99.55257270693512,False,0.7636363636363637,55,16,-0.480744534873962,-0.3485203334369713,0.2194182682154775
spooky,SPOOKY,LFL,2026,unknown,jng,Skillcamp,89.80657462949655,99.34354485776805,False,0.5294117647058824,51,17,0.5016234953130803,0.1411889536056819,0.7717791853910708
